Date,Open,High,Low,Close / Last,Volume
08/03/18,347.81,355,342.53,348.17,13646640
08/02/18,328.44,349.99,323.16,349.54,23159160
08/01/18,297.99,303,293,300.84,8768099
07/31/18,292.25,298.32,289.07,298.14,5055094
07/30/18,295.9,296.1,286.13,290.17,6799581
07/27/18,307.25,307.6933,295.3404,297.18,5694690
07/26/18,304.85,310.7,303.6411,306.65,4619567
07/25/18,296.74,309.62,294.5025,308.74,7031382
07/24/18,304.4209,307.7171,292.5452,297.43,9586186
07/23/18,301.84,305.5,292.8601,303.2,10974820
07/20/18,321.23,323.24,311.7093,313.58,5159831
07/19/18,316.33,323.54,314.01,320.23,5907116
07/18/18,325,325.5,316.25,323.85,5610085
07/17/18,308.81,324.74,308.5,322.69,6987782
07/16/18,311.71,315.16,306.25,310.1,7800454
07/13/18,315.58,319.5849,309.25,318.87,5866776
07/12/18,321.43,323.23,312.77,316.71,5711851
07/11/18,315.8,321.94,315.07,318.96,4878595
07/10/18,324.56,327.6771,319.2,322.47,9437557
07/09/18,311.99,318.52,308,318.51,7579541
07/06/18,304.955,312.07,302,308.9,8860198
07/05/18,313.76,314.39,296.22,309.16,17457570
07/03/18,331.75,332.49,309.69,310.86,12282640
07/02/18,360.07,364.78,329.85,335.07,18732710
06/29/18,353.33,353.86,342.41,342.95,6475903
06/28/18,348.66,357.02,346.11,349.93,8388172
06/27/18,345,350.79,339.5,344.5,8313817
06/26/18,336.054,343.55,325.799,342,7434749
06/25/18,330.12,338.47,327.5,333.01,6925089
06/22/18,351.54,352.25,332,333.63,10253770
06/21/18,362,366.2139,346.27,347.51,7949846
06/20/18,358.04,364.38,352,362.22,8370268
06/19/18,365.16,370,346.25,352.55,12734840
06/18/18,355.4,373.73,354.5,370.83,12025450
06/15/18,353.84,364.67,351.25,358.17,10827560
06/14/18,347.63,358.75,346.6,357.72,10961150
06/13/18,346.706,347.2,339.8,344.78,9401467
06/12/18,344.7,354.97,338,342.77,22256430
06/11/18,322.51,334.66,322.5,332.1,13166050
06/08/18,319,324.48,317.15,317.66,8192175
06/07/18,316.15,330,313.58,316.09,14336110
06/06/18,300.5,322.17,297.48,319.5,18742400
06/05/18,297.7,297.8,286.74,291.13,5877873
06/04/18,294.34,299,293.548,296.74,4793787
06/01/18,285.86,291.95,283.839,291.82,5417984
05/31/18,287.21,290.37,282.93,284.73,5912825
05/30/18,283.29,295.005,281.6,291.72,7473590
05/29/18,278.51,286.5,276.15,283.76,5657153
05/25/18,277.625,279.64,275.61,278.85,3872621
05/24/18,278.4,281.11,274.89,277.85,4170789
05/23/18,277.76,279.9099,274,279.07,5972237
05/22/18,287.762,288,273.422,275.01,8938501
05/21/18,281.33,291.49,281.3,284.49,9167844
05/18/18,284.65,284.65,274,276.82,7243699
05/17/18,285.9,289.1873,283.97,284.54,4418258
05/16/18,283.83,288.81,281.56,286.48,5669644
05/15/18,285.01,286.96,280.5,284.18,9509753
05/14/18,303.32,304.94,291.62,291.97,7265501
05/11/18,307.7,308.88,299.08,301.06,4665321
05/10/18,307.4997,312.99,304.1119,305.02,5642771
05/09/18,300.41,307.01,300.05,306.85,5712255
05/08/18,300.795,307.75,299,301.97,5927447
05/07/18,297.5,305.9588,295.17,302.77,8673090
05/04/18,283,296.86,279.52,294.09,8565506
05/03/18,278.79,288.04,275.23,284.45,17339090
05/02/18,298.57,306.85,297.7844,301.15,8346176
05/01/18,293.51,300.82,293.22,299.92,4614946
04/30/18,293.61,298.73,292.5,293.9,4224068
04/27/18,285.37,294.47,283.83,294.075,4346854
04/26/18,278.75,285.79,276.5,285.48,4348108
04/25/18,283.5,285.16,277.25,280.69,4000421
04/24/18,285,287.09,278.46,283.46,5678242
04/23/18,291.29,291.62,282.33,283.37,4880743
04/20/18,295.17,299.98,289.75,290.24,5622630
04/19/18,291.08,301.01,288.55,300.08,6083800
04/18/18,291.08,300.24,288.16,293.35,6531563
04/17/18,288.87,292.17,282.51,287.69,6931152
04/16/18,299,299.66,289.01,291.21,6289497
04/13/18,303.6,303.9499,295.98,300.34,7319225
04/12/18,302.32,303.95,293.68,294.08,7595525
04/11/18,300.74,308.98,299.66,300.93,7470204
04/10/18,298.97,307.1,293.68,304.7,11017010
04/09/18,300.37,309.5,289.21,289.66,10241410
04/06/18,301,309.28,295.5,299.3,13516530
04/05/18,289.34,306.26,288.2,305.72,19025860
04/04/18,252.78,288.37,252,286.94,19880180
04/03/18,269.82,273.35,254.49,267.53,18829650
04/02/18,256.26,260.3318,244.5901,252.48,16093290
03/29/18,256.49,270.9599,248.21,266.13,15014440
03/28/18,264.58,268.68,252.1,257.78,20962280
03/27/18,304,304.27,277.18,279.18,13787060
03/26/18,307.34,307.59,291.36,304.18,8364937
03/23/18,311.25,311.61,300.45,301.54,6639960
03/22/18,313.89,318.82,308.18,309.1,4924928
03/21/18,310.25,322.44,310.19,316.53,5954247
03/20/18,314.87,316.25,308.76,310.55,4761031
03/19/18,316.5,320.75,309.67,313.56,7467890
03/16/18,325.96,327.4,319.07,321.35,6113365
03/15/18,329.38,332.85,321.1,325.6,6554568
03/14/18,336.76,339.81,323.93,326.63,7952152
03/13/18,344.92,345.12,336.2635,341.84,5960636
03/12/18,328.61,347.21,326.5,345.51,8252919
03/09/18,324.1,328.49,322.37,327.17,5502779
03/08/18,332.86,333.3,326.274,329.1,3514367
03/07/18,325.44,332.5,321.74,332.3,5001940
03/06/18,333.75,336.37,327.03,328.2,4236483
03/05/18,332.39,337.75,329.2929,333.35,3820702
03/02/18,326.98,335.22,322.97,335.12,5088789
03/01/18,345.01,348.67,330.07,330.93,6872552
02/28/18,352.57,355.24,342.22,343.06,6066044
02/27/18,356.25,359.99,350.01,350.99,4785022
02/26/18,353.5,359,352.355,357.42,4334500
02/23/18,347.83,354.99,347.1,352.05,5814177
02/22/18,335.53,347.44,334.7501,346.17,6961880
02/21/18,336.03,339.6929,333.17,333.3,3207250
02/20/18,334.47,340.84,331.5,334.77,4005962
02/16/18,332.5,343.12,331.64,335.49,5640184
02/15/18,324.5,334.12,322.4,334.065,5909823
02/14/18,320.84,326.17,318.52,322.31,3948077
02/13/18,315.02,324.19,312.5105,323.66,4554631
02/12/18,316.13,318.08,306.25,315.73,6224479
02/09/18,319.93,320.9845,294.76,310.42,12924430
02/08/18,343.31,348.62,314.6,315.23,10296420
02/07/18,338.99,346,335.66,345,6729682
02/06/18,325.21,336.22,323.5,333.97,5080032
02/05/18,337.97,344.47,333,333.13,4441166
